Team,Year,OWn%,BtRuns,BtWins,Fld%,Position,Target,CareerLen,Rank,Value,ARI,ATL,CHC,CIN,COL,LAD,MIA,MIL,NYM,PHI,PIT,SDP,SFG,STL,WSN,BAL,BOS,CHW,CLE,DET,HOU,KCR,LAA,MIN,NYY,OAK,SEA,TBR,TEX,TOR
DET,2018,0.43200000000000005,-5.2,-0.5,0.981,OF,CHC,5,15,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,2018,0.503,-2.1,-0.2,0.99,OF,COL,8,14,24,2,1,3,2,0,2,0,2,1,2,0,1,1,4,1,1,3,0,0,0,0,0,1,0,2,0,3,0,0,0
SEA,2018,0.0,0.0,0.0,1.0,P,BAL,1,3,15,0,1,0,1,1,1,1,2,1,1,0,0,0,1,1,0,0,0,14,0,0,0,1,0,0,0,2,0,0,2
MIN,2018,0.527,1.1,0.1,0.997,OF,MIL,2,23,22,1,1,0,1,0,1,3,1,1,1,1,1,1,2,1,0,1,0,0,1,0,0,2,6,14,0,0,0,0,1
TEX,2018,0.0,0.0,0.0,1.0,P,CHC,2,25,13,1,0,6,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
CLE,2018,0.0,-0.8,-0.1,1.0,P,CIN,6,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SEA,2018,0.185,-4.1,-0.4,1.0,OF,DET,9,3,15,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BAL,2018,0.36200000000000004,-9.9,-1.0,0.9420000000000001,OF,SEA,5,0,21,2,2,0,2,0,2,0,1,0,1,4,1,1,1,0,4,0,0,2,0,0,1,0,2,1,2,3,2,2,0
SEA,2018,0.6409999999999999,16.8,1.6,0.9940000000000001,OF,NYM,13,3,15,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,1
TEX,2018,0.5429999999999999,-0.3,0.0,0.996,C,HOU,7,25,13,1,1,1,0,2,1,0,2,0,2,3,1,4,3,1,3,0,1,1,1,5,1,2,1,1,2,2,1,8,0
TOR,2018,0.0,0.0,0.0,1.0,P,CLE,11,21,16,5,1,0,0,0,1,0,2,2,1,0,2,0,0,1,0,0,0,2,0,1,0,0,0,1,1,3,0,0,2
SEA,2018,0.0,0.0,0.0,1.0,P,CHW,5,3,15,2,1,0,1,1,0,0,0,0,1,4,1,1,0,1,2,0,0,1,0,0,0,0,3,0,0,1,2,1,1
TBR,2018,0.569,15.5,1.5,0.996,OF,MIN,4,22,30,0,0,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,1,1,2,0,0,2
SEA,2018,0.608,25.2,2.5,1.0,OF,MIN,21,3,15,4,1,3,2,2,0,1,1,1,3,0,0,2,1,1,3,2,1,2,2,3,0,2,3,1,0,5,1,4,0
HOU,2018,0.153,-9.9,-1.0,0.977,OF,NYM,1,2,11,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0
CLE,2018,0.27699999999999997,-13.3,-1.3,1.0,OF,NYM,12,14,24,4,3,7,3,7,4,1,6,6,3,4,2,7,8,6,3,8,2,15,11,4,1,6,1,9,2,6,2,3,6
ARI,2018,0.0,0.0,0.0,0.667,P,OAK,6,8,20,3,1,4,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,5,0
CLE,2018,0.6829999999999999,3.7,0.4,0.946,OF,ATL,8,14,24,1,4,1,0,0,3,1,2,2,3,1,0,1,2,0,2,3,0,4,0,5,1,1,0,0,0,0,0,1,4
SEA,2018,0.0,0.0,0.0,0.833,P,CIN,13,3,15,5,2,2,10,2,3,1,7,2,5,1,3,4,20,3,1,1,4,3,0,4,2,3,11,3,2,4,1,0,3
SEA,2018,0.961,0.2,0.0,1.0,P,WSN,4,3,15,1,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,2,2,1,1,1,0,1,1,3,1,3,0,2,1
CLE,2018,0.573,11.6,1.1,0.9940000000000001,OF,NYY,13,14,24,0,1,1,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,4,1,1,1,1,0,0,0,2,1,0,4
CIN,2018,0.938,1.4,0.1,1.0,C,TEX,7,27,28,1,0,3,0,2,7,0,1,1,1,0,1,3,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1,1
SEA,2018,0.28600000000000003,-4.1,-0.4,0.993,C,MIL,1,3,15,1,6,4,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
CHW,2018,0.423,-3.7,-0.4,0.99,OF,TBR,6,28,14,1,1,1,1,2,0,1,1,1,3,0,2,1,0,3,1,0,3,2,4,0,1,1,1,1,0,2,0,2,3
CHW,2018,0.961,0.5,0.1,0.889,C,OAK,3,28,14,0,2,0,0,8,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,0,0,0
ATL,2018,0.0,-3.3,-0.3,0.875,P,CIN,5,6,12,5,4,3,4,4,2,1,1,1,1,2,0,3,2,2,8,4,0,0,4,2,1,0,1,1,0,2,0,1,0
SFG,2018,0.0,0.0,0.0,1.0,P,NYY,7,17,4,0,3,1,1,1,2,0,1,0,0,3,1,12,1,1,0,0,0,1,0,1,1,2,0,0,0,1,3,1,0
KCR,2018,0.261,-7.4,-0.7,0.991,OF,CHW,5,29,27,3,1,2,1,1,1,0,3,4,3,3,0,3,0,1,3,4,3,6,3,2,0,4,0,3,1,3,0,0,7
CLE,2018,0.546,1.4,0.1,0.991,C,WSN,6,14,24,9,4,6,6,4,2,4,4,3,6,5,2,6,4,9,2,4,3,15,1,5,3,7,2,6,0,3,1,2,6
TBR,2018,0.366,-11.5,-1.1,0.9670000000000001,OF,NYM,11,22,30,0,0,0,0,1,0,0,0,2,1,1,0,0,2,0,1,0,0,0,0,3,1,1,1,1,0,2,2,0,0
CLE,2018,0.46399999999999997,-3.6,-0.4,0.95,OF,PIT,2,14,24,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,0,0,0,1
HOU,2018,0.466,0.5,0.1,0.9790000000000001,OF,MIN,6,2,11,1,2,0,0,2,0,0,3,1,0,1,2,0,1,0,0,1,0,1,1,6,0,0,1,0,0,1,0,3,0
MIL,2018,0.715,2.2,0.2,1.0,OF,MIA,14,5,25,0,0,0,2,0,3,3,1,11,0,4,1,2,0,1,0,0,0,0,0,4,1,3,0,3,2,1,1,1,2
DET,2018,0.0,0.0,0.0,0.875,P,ATL,3,15,19,1,5,0,1,0,1,1,1,0,1,2,1,1,0,0,0,1,1,1,14,2,0,2,1,5,0,1,0,0,1
TOR,2018,0.0,0.0,0.0,1.0,P,TEX,0,21,16,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,1,4,1,1
SDP,2018,0.0,-0.3,0.0,0.875,P,CLE,7,19,17,1,2,1,1,0,2,1,2,1,3,1,2,0,1,0,2,1,0,4,0,2,0,2,0,1,1,2,1,1,1
BAL,2018,0.0,0.0,0.0,0.857,P,NYM,2,0,21,1,3,2,1,0,0,0,0,1,1,2,0,0,0,0,7,1,0,0,0,1,1,0,0,1,0,0,1,0,1
WSN,2018,0.0,0.0,0.0,1.0,P,CHW,6,13,10,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1
CIN,2018,0.0,-2.2,-0.2,1.0,OF,MIA,0,27,28,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAA,2018,0.268,-1.4,-0.1,1.0,C,STL,21,9,8,1,0,0,12,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,1,1,0,1,0,1,0
OAK,2018,0.0,-0.5,-0.1,0.889,P,TOR,15,16,26,5,2,9,0,1,3,0,5,0,1,2,4,3,4,8,2,0,0,1,0,2,1,5,0,2,2,5,1,0,3
ARI,2018,0.365,-14.1,-1.4,1.0,OF,CHW,8,8,20,6,1,10,1,0,2,1,1,1,2,1,4,1,11,1,2,1,1,4,3,1,1,4,1,2,1,3,0,0,3
BAL,2018,0.465,-0.1,0.0,0.987,OF,ARI,12,0,21,12,2,0,1,2,2,1,4,0,4,2,0,4,4,3,7,3,1,3,0,4,2,3,0,3,1,3,3,0,2
OAK,2018,0.42100000000000004,-2.3,-0.2,0.9890000000000001,OF,ATL,10,16,26,2,3,4,1,3,0,1,3,3,2,8,2,3,2,1,3,2,0,5,1,0,1,7,2,0,6,3,2,2,1
HOU,2018,0.514,2.8,0.3,1.0,OF,CHC,2,2,11,1,4,1,2,1,2,2,4,0,4,1,1,0,0,3,0,2,1,0,2,12,0,0,0,2,2,1,0,3,3
HOU,2018,0.0,-0.6,-0.1,1.0,P,ATL,6,2,11,1,3,2,0,0,2,2,3,0,2,1,0,4,2,2,1,1,0,2,2,12,0,1,1,2,0,0,1,0,1
BOS,2018,0.0,0.0,0.0,1.0,P,CHC,8,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHW,2018,0.616,2.0,0.2,0.981,OF,MIN,3,28,14,4,2,0,8,0,1,3,1,2,1,0,0,0,1,1,0,8,2,2,0,1,0,5,5,2,1,3,0,1,0
DET,2018,0.0,-0.3,0.0,1.0,P,PIT,12,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAK,2018,0.327,-15.4,-1.5,0.9890000000000001,C,CHC,8,16,26,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
MIN,2018,0.0,-0.3,0.0,1.0,P,SEA,5,23,22,1,0,1,2,0,3,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,2,10,0,0,2,0,1,0
HOU,2018,0.268,-3.9,-0.4,0.996,C,CHC,7,2,11,2,0,2,2,1,2,1,4,3,0,0,0,0,1,1,3,1,0,4,1,11,4,8,2,2,2,6,2,0,0
CLE,2018,0.0,0.0,0.0,0.967,P,CHW,4,14,24,11,2,2,2,0,1,0,0,0,1,0,0,0,0,1,1,0,3,8,0,3,1,3,2,1,0,2,0,1,2
TOR,2018,0.40399999999999997,-4.0,-0.4,0.99,C,LAD,12,21,16,2,0,1,2,1,3,0,2,1,1,8,2,4,0,0,0,1,0,3,1,4,1,1,0,4,0,1,0,0,5
MIA,2018,0.46299999999999997,-2.0,-0.2,0.987,OF,NYY,11,26,29,0,1,0,0,2,0,12,1,0,2,1,1,4,1,0,0,1,0,1,0,8,0,4,0,12,0,2,0,0,1
DET,2018,0.261,-26.6,-2.6,0.9940000000000001,C,CHW,4,15,19,3,1,1,1,0,1,1,1,1,1,0,0,0,0,2,0,3,5,2,18,4,0,1,0,1,0,0,1,1,1
SFG,2018,0.5660000000000001,14.0,1.4,0.992,OF,PHI,9,17,4,0,0,2,2,1,2,0,1,2,3,14,0,7,1,0,1,2,0,2,2,2,0,4,1,3,1,2,0,0,2
PIT,2018,0.6,3.1,0.3,0.9740000000000001,OF,TBR,0,18,18,0,3,4,2,2,5,1,4,0,2,22,1,3,3,0,1,3,2,1,2,3,0,3,2,1,1,1,5,1,3
SEA,2018,0.0,0.0,0.0,0.967,P,PHI,4,3,15,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,2,0,1,0,1
ARI,2018,0.0,-0.1,0.0,1.0,OF,LAD,6,8,20,5,0,1,3,1,4,0,0,3,1,1,0,1,1,1,0,1,0,0,0,1,0,2,1,0,0,3,0,0,0
BAL,2018,0.0,0.0,0.0,1.0,P,ATL,10,0,21,1,4,0,0,0,0,1,0,1,3,0,0,1,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
LAA,2018,0.0,0.0,0.0,1.0,P,PHI,6,9,8,0,0,5,0,3,1,0,0,0,1,0,2,1,0,1,0,0,0,1,0,1,0,4,1,0,0,0,1,0,0
SEA,2018,0.0,0.0,0.0,1.0,P,COL,3,3,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TEX,2018,0.0,-0.9,-0.1,1.0,P,MIN,5,25,13,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,1,1,1,2,1,0,1,0,1,0,0,2,0,7,1
TOR,2018,0.0,-0.3,0.0,1.0,P,MIL,4,21,16,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0
STL,2018,0.469,-0.2,0.0,0.976,OF,TBR,4,10,7,1,0,0,1,0,0,0,2,0,1,2,0,0,10,0,1,0,0,1,0,0,0,0,1,0,1,0,5,0,0
MIL,2018,0.105,-2.0,-0.2,1.0,OF,KCR,1,5,25,4,5,4,5,3,3,3,11,2,4,4,0,1,4,1,0,0,2,1,0,8,2,2,2,4,2,0,5,1,1
TOR,2018,0.442,-5.5,-0.5,0.9840000000000001,OF,SFG,5,21,16,2,0,0,1,0,2,0,4,2,1,1,1,2,0,0,2,1,1,2,1,2,1,4,0,2,0,2,0,0,6
BOS,2018,0.0,0.0,0.0,1.0,P,MIL,7,1,5,1,0,1,0,3,0,0,2,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
TEX,2018,0.589,5.1,0.5,0.9590000000000001,OF,OAK,6,25,13,0,2,1,0,0,0,3,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,6,0
BOS,2018,0.4,-2.7,-0.3,1.0,OF,CLE,13,1,5,0,0,1,0,1,3,1,0,1,2,0,0,2,0,0,0,9,0,1,1,0,0,2,1,1,0,0,1,0,0
ATL,2018,0.0,0.0,0.0,0.0,P,CLE,5,6,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1
CLE,2018,0.0,-0.3,0.0,1.0,P,TOR,4,14,24,0,1,5,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
PHI,2018,0.693,5.1,0.5,0.995,C,NYM,8,11,9,1,1,1,0,2,0,0,2,1,0,2,1,1,0,5,0,2,1,1,1,1,1,1,0,0,1,3,0,2,1
BAL,2018,0.45399999999999996,-2.0,-0.2,0.992,OF,SFG,2,0,21,0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,1,1,1,1,2,4,1,1
ATL,2018,0.0,-1.1,-0.1,1.0,C,NYM,14,6,12,1,1,5,4,1,1,0,1,7,2,2,0,1,4,0,2,0,0,2,0,1,0,0,3,0,0,3,1,1,0
NYY,2018,0.0,0.0,0.0,0.917,P,PHI,10,4,1,1,2,1,0,0,0,1,3,0,2,4,1,5,0,2,1,1,2,1,1,1,0,0,1,12,1,3,0,0,3
MIN,2018,0.0,0.0,0.0,1.0,P,WSN,13,23,22,2,1,2,0,1,1,0,0,2,2,1,1,2,2,0,0,1,0,1,0,0,1,1,0,0,0,4,1,0,1
TBR,2018,0.0,-0.3,0.0,1.0,P,MIA,10,22,30,0,0,2,1,0,0,2,2,2,0,2,2,11,1,1,0,1,0,0,0,1,0,2,2,1,0,0,3,0,0
BOS,2018,0.0,0.0,0.0,0.967,P,ARI,1,1,5,6,0,1,0,1,0,0,1,0,0,0,0,1,2,0,1,11,1,1,1,0,0,1,0,0,0,0,0,0,1
SEA,2018,0.511,9.8,1.0,0.9690000000000001,OF,PHI,6,3,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TOR,2018,0.608,2.8,0.3,1.0,OF,BAL,1,21,16,2,0,3,1,0,0,0,1,1,3,2,0,1,1,1,0,0,0,2,2,4,2,5,2,3,1,2,0,1,6
TOR,2018,0.305,-14.2,-1.4,0.976,OF,SFG,4,21,16,1,1,0,0,0,1,1,0,1,0,0,1,2,2,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1
TBR,2018,0.0,0.0,0.0,1.0,P,MIA,0,22,30,3,3,5,3,1,4,1,2,1,4,4,2,2,3,2,2,2,0,2,3,2,0,1,2,1,2,3,8,1,1
