Position,Team,per,ws,bpm,Year,CareerLen,Rank,Value,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,College,Target
PF,BRK,8.2,1.0,-2.5,2018,5,22,2300.0,1,3,2,0,1,0,1,4,0,0,2,2,1,2,0,4,0,1,4,1,0,1,1,1,1,2,2,0,3,1,Baylor,PHO
SF,PHI,13.0,1.2,-0.9,2018,2,4,1180.0,2,3,4,3,2,3,0,8,1,1,0,0,1,2,2,2,2,1,3,2,1,1,1,1,3,4,2,1,1,3,Virginia,ATL
SF,SAS,15.9,6.2,2.9,2018,3,12,1550.0,3,6,4,3,2,1,2,2,2,1,5,2,0,4,2,2,1,2,2,2,3,2,4,2,3,2,3,3,3,6,UCLA,MEM
PF,OKC,12.7,3.7,-1.9,2018,14,9,1250.0,1,1,1,2,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,2,0,1,0,0,Syracuse,HOU
SF,HOU,11.8,5.3,0.7,2018,13,0,2200.0,1,1,1,1,1,0,0,0,2,0,2,2,0,1,1,2,3,1,0,1,1,1,1,0,2,1,0,2,2,0,UCLA,WAS
SG,NYK,9.3,0.5,-0.4,2018,1,21,3600.0,0,3,3,4,2,1,4,4,2,2,1,3,0,3,3,2,3,3,5,1,0,2,1,1,2,4,4,1,1,0,Wichita State,WAS
SG,PHI,7.5,1.1,-2.8,2018,9,4,1180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Arizona,MIN
SG,ATL,14.1,1.9,-0.2,2018,10,26,1150.0,2,1,3,0,1,0,2,1,1,0,2,3,6,1,2,0,0,1,1,1,0,0,0,0,2,1,3,3,2,2,0,SAS
SG,PHI,14.2,1.8,-0.8,2018,10,4,1180.0,2,1,3,0,1,0,2,1,1,0,2,0,6,1,2,0,0,1,1,1,0,0,0,0,2,1,3,3,2,2,0,SAS
C,ORL,14.1,2.9,-2.4,2018,6,25,1225.0,3,1,1,0,1,1,1,1,1,0,4,1,2,2,1,1,0,1,1,1,0,1,0,0,0,1,1,5,0,1,0,CHO
PF,MIN,12.6,2.8,0.1,2018,2,11,1060.0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,SAC
PG,PHO,13.0,0.0,-3.2,2018,7,29,1280.0,0,2,1,2,2,1,4,1,2,2,0,0,1,3,1,4,0,4,2,0,0,5,2,1,5,2,1,1,5,5,Kentucky,MIL
C,LAL,10.9,0.4,-2.8,2018,12,20,3300.0,0,0,8,2,1,1,1,4,1,0,1,3,1,0,0,0,0,0,3,0,1,2,1,2,1,0,0,0,0,0,Utah,GSW
PF,GSW,-28.5,0.0,-33.1,2018,0,2,3100.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Oregon,TOR
SG,DET,9.7,-0.2,-3.9,2018,7,18,1100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,Texas,MEM
SG,LAC,9.0,0.0,-4.4,2018,7,17,2150.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,Texas,MEM
SF,LAL,8.9,0.7,-3.1,2018,10,20,3300.0,1,0,3,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,2,0,1,0,3,0,0,0,0,2,Florida,SAC
SG,OKC,14.2,1.6,1.1,2018,10,9,1250.0,1,0,3,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,3,0,0,0,0,2,Florida,SAC
C,LAL,9.9,0.1,-3.3,2018,0,20,3300.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Indiana,WAS
SF,DET,13.6,4.2,0.7,2018,4,18,1100.0,2,6,2,1,3,0,2,0,3,0,1,2,0,3,2,1,3,1,2,2,1,3,1,1,1,0,2,0,1,2,UNC,LAL
PG,NYK,21.0,2.4,2.5,2018,4,21,3600.0,0,0,2,0,1,3,1,1,0,0,0,1,0,3,0,2,1,1,4,1,1,1,0,0,1,2,1,1,2,1,Michigan,DAL
SG,UTA,13.1,1.9,-0.9,2018,6,10,1200.0,1,0,1,0,4,1,1,0,0,0,0,0,0,1,3,2,0,1,0,1,3,2,1,1,4,0,2,1,2,1,Colorado,SAC
SG,MIN,23.7,8.9,5.8,2018,6,11,1060.0,1,3,2,0,2,0,0,1,0,1,0,1,2,0,0,2,0,0,2,0,1,0,0,0,3,1,0,0,1,2,Marquette,PHI
SF,TOR,-0.1,0.0,-2.6,2018,3,1,1400.0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,2,0,1,3,1,0,0,0,1,0,1,1,2,0,0,2,0,MEM
SF,SAC,7.9,0.0,-6.1,2018,3,24,1375.0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,3,1,0,0,0,1,0,1,1,2,0,0,2,0,MEM
SG,HOU,-7.3,0.0,-16.9,2018,4,0,2200.0,1,2,3,2,2,4,0,4,1,1,0,2,0,4,0,3,6,4,1,2,3,2,2,0,1,2,4,2,3,2,Murray State,MIL
PG,PHO,13.7,0.7,-1.1,2018,4,29,1280.0,1,2,3,2,2,4,0,4,1,1,0,2,0,4,0,3,0,4,1,2,3,2,2,0,1,2,4,2,3,2,Murray State,MIL
SF,SAC,10.8,1.2,-1.2,2018,19,24,1375.0,1,0,3,2,2,1,3,1,3,2,3,2,2,4,0,3,3,4,2,3,4,4,2,4,5,5,3,2,3,8,UNC,ATL
SF,GSW,15.5,2.2,-0.9,2018,8,2,3100.0,0,1,0,0,1,3,1,0,2,0,0,0,1,1,0,0,2,1,1,1,0,0,1,1,3,2,0,2,1,2,0,MEM
PF,ATL,13.0,1.2,-1.9,2018,0,26,1150.0,0,2,3,0,2,2,2,4,2,3,0,2,1,2,1,2,1,2,12,0,1,1,0,0,6,3,0,3,2,1,George Washington,UTA
C,PHO,14.2,2.7,-1.4,2018,16,29,1280.0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,2,0,1,0,0,0,0,LAL
SF,DEN,10.9,3.3,-2.1,2018,9,13,1125.0,1,2,6,1,2,2,2,0,7,2,2,8,1,4,4,3,2,4,2,3,0,0,2,0,6,4,4,0,4,0,DePaul,LAC
PF,PHO,11.1,0.7,-2.8,2018,1,29,1280.0,0,3,0,1,2,1,3,0,0,0,0,1,1,1,2,1,0,0,1,0,0,2,0,0,1,1,1,0,0,1,Washington,CLE
SG,LAL,16.9,2.1,0.8,2018,3,20,3300.0,1,0,2,5,1,2,1,3,2,0,1,1,0,2,2,2,3,2,6,0,2,3,0,0,7,1,3,0,0,2,"Tulsa, Missouri",CLE
C,NOP,22.6,4.7,4.7,2018,7,8,1000.0,2,3,11,0,2,4,2,1,3,2,2,2,2,3,2,4,2,5,1,3,2,3,2,0,3,3,4,2,0,6,Kentucky,GSW
SG,MIN,13.0,1.3,-2.3,2018,17,11,1060.0,5,7,10,6,6,7,7,3,10,9,4,8,7,4,5,4,9,7,8,4,7,6,5,2,9,6,0,3,7,9,Michigan,PHO
SF,CLE,10.2,1.7,-3.0,2018,5,5,1325.0,3,2,2,0,3,1,2,2,1,3,0,1,2,4,1,1,1,2,13,1,3,3,0,0,0,2,3,0,4,2,Marquette,UTA
SF,NOP,8.4,1.6,-2.0,2018,8,8,1000.0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,Villanova,SAS
SF,BRK,13.8,0.9,-0.9,2018,8,22,2300.0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,Villanova,SAS
C,POR,15.5,5.0,-0.6,2018,7,6,1300.0,1,0,1,1,0,3,3,0,1,0,2,3,0,0,3,3,1,3,0,0,0,1,0,1,2,2,0,0,2,1,UNC,BRK
PF,LAC,11.5,1.2,-2.9,2018,2,17,2150.0,1,1,5,3,2,2,5,2,0,3,1,3,1,1,2,1,2,2,1,1,2,3,0,0,5,5,2,3,0,2,Wisconsin,WAS
PG,MIL,8.6,0.5,-4.4,2018,4,15,1075.0,1,2,1,0,3,1,1,5,0,1,2,1,2,1,0,0,1,2,2,0,0,0,0,0,9,0,2,0,0,0,Saint Mary's,CLE
SF,LAL,5.5,0.0,-2.9,2018,13,20,3300.0,1,0,1,0,1,0,2,0,0,3,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,3,0,2,2,Duke,MIN
SG,TOR,21.0,9.6,2.8,2018,8,1,1400.0,1,2,4,1,0,1,2,1,0,2,0,1,2,2,1,1,1,3,0,0,0,2,2,0,4,2,2,1,3,1,USC,SAS
SG,ATL,10.0,0.4,-2.9,2018,0,26,1150.0,0,0,6,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,1,1,1,1,0,2,Oregon,MEM
PG,OKC,-5.0,0.0,-20.4,2018,0,9,1250.0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,South Carolina,BOS
PF,PHO,8.8,0.8,-2.5,2018,10,29,1280.0,1,4,6,2,4,4,4,3,4,2,4,4,2,5,1,4,0,4,2,3,1,5,1,0,6,3,4,2,4,1,Boston College,BRK
PF,DET,10.5,0.1,-4.4,2018,1,18,1100.0,1,2,4,2,3,2,2,2,4,2,1,0,1,1,1,2,0,5,2,3,1,3,1,0,4,0,4,1,3,2,Marquette,NYK
SF,MEM,11.9,2.0,-0.6,2018,3,28,1025.0,0,1,0,0,1,0,4,0,1,6,0,3,0,3,3,0,4,1,0,0,0,0,1,0,0,2,0,0,3,0,Cal State Long Beach,PHI
SF,DET,11.2,1.0,-2.3,2018,3,18,1100.0,0,1,0,0,1,0,4,0,1,6,0,3,0,3,3,0,4,1,0,0,0,0,1,0,0,0,0,0,3,0,Cal State Long Beach,PHI
