player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,year,career_len,rank,value,affinity,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,college,twitter_id,left,target
Álex Abrines,SG,25,OKC,31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2,2019,2,9,1475.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Quincy Acy,PF,28,PHO,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.0,-0.1,-0.022,-7.6,-0.5,-8.1,-0.2,2019,6,28,1500.0,True,0,3,2,0,0,5,3,2,0,0,2,2,2,2,1,2,0,0,4,1,1,2,0,2,1,1,0,0,1,1,Baylor,30245853,,
Jaylen Adams,PG,22,ATL,34,428,7.6,0.474,0.6729999999999999,0.08199999999999999,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,-0.1,0.2,0.1,0.011,-3.8,-0.5,-4.3,-0.2,2019,0,25,1275.0,True,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,St. Bonaventure,1030914242,,
Steven Adams,C,25,OKC,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,5.1,4.0,9.1,0.163,0.7,0.4,1.1,2.1,2019,5,9,1475.0,True,2,4,3,0,2,0,2,2,0,2,2,1,2,1,1,2,1,0,4,3,0,2,0,0,2,2,2,1,0,2,Pitt,1253284927,,
Bam Adebayo,C,21,MIA,82,1913,17.9,0.623,0.031,0.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,3.4,3.4,6.8,0.171,-0.4,2.2,1.8,1.8,2019,1,17,1675.0,True,0,1,2,0,2,1,1,0,0,0,0,1,0,0,2,2,3,3,2,1,3,0,1,1,0,0,0,2,1,1,Kentucky,555653709,,
Deng Adel,SF,21,CLE,19,194,2.7,0.424,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,-0.2,0.0,-0.2,-0.054000000000000006,-6.0,-1.6,-7.5,-0.3,2019,0,27,1270.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisville,0,,
DeVaughn Akoon-Purcell,SG,25,DEN,7,22,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,-0.1,0.0,0.0,-0.051,-7.9,2.1,-5.8,0.0,2019,0,3,1375.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois State,0,,
LaMarcus Aldridge,C,33,SAS,81,2687,22.9,0.5760000000000001,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.16699999999999998,2.4,-0.6,1.8,2.6,2019,12,12,1600.0,True,0,0,2,1,1,0,1,1,0,0,0,0,0,3,0,3,1,2,1,1,2,1,0,1,1,0,0,2,0,1,Texas,248829112,,
Rawle Alkins,SG,21,CHI,10,120,8.1,0.418,0.308,0.308,9.9,13.7,11.8,15.2,0.4,0.0,15.3,19.0,-0.1,0.0,-0.1,-0.042,-3.8,-3.5,-7.3,-0.2,2019,0,26,2900.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona,0,,
Grayson Allen,SG,23,UTA,38,416,7.5,0.516,0.556,0.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0.0,0.002,-4.2,-2.1,-6.3,-0.5,2019,0,7,1425.0,True,0,2,2,1,3,1,0,0,1,1,0,0,0,1,1,2,2,0,0,1,0,0,1,1,1,1,1,1,3,5,Duke,608751926,,
