,Ada,LogReg,Forest,XGB,KNN,Trees
Position,0.04,0.044,0.044,0.055,0.035,0.044
Position/Social,0.064,0.153,0.164,0.175,0.08,0.128
Team,0.038,0.051,0.046,0.042,0.055,0.053
Team/Social,0.066,0.192,0.175,0.186,0.088,0.146
CareerLen,0.06,0.064,0.051,0.049,0.038,0.051
CareerLen/Social,0.086,0.184,0.17,0.173,0.111,0.144
Performance,0.031,0.027,0.029,0.038,0.033,0.024
Performance/Social,0.062,0.173,0.177,0.168,0.08,0.137
Rank,0.062,0.038,0.038,0.042,0.049,0.031
Rank/Social,0.1,0.173,0.173,0.195,0.084,0.15
Value,0.038,0.02,0.038,0.035,0.04,0.033
Value/Social,0.097,0.155,0.153,0.173,0.093,0.124
All,0.033,0.038,0.049,0.064,0.055,0.046
All/Social,0.062,0.177,0.153,0.197,0.064,0.119
Social,0.091,0.206,0.173,0.215,0.066,0.164
