,Ada,LogReg,Forest,XGB,KNN,Trees
Position,0.047,0.049,0.049,0.049,0.038,0.049
Position/Social,0.195,0.187,0.22,0.203,0.092,0.196
Team,0.035,0.034,0.035,0.032,0.038,0.034
Team/Social,0.19,0.244,0.196,0.226,0.091,0.183
CareerLen,0.055,0.05,0.053,0.052,0.039,0.055
CareerLen/Social,0.173,0.193,0.213,0.198,0.092,0.194
Performance,0.042,0.04,0.037,0.04,0.036,0.041
Performance/Social,0.19,0.184,0.198,0.198,0.081,0.19
Rank,0.04,0.042,0.038,0.04,0.04,0.038
Rank/Social,0.199,0.195,0.209,0.212,0.088,0.204
Value,0.043,0.035,0.044,0.041,0.038,0.042
Value/Social,0.197,0.202,0.204,0.197,0.08,0.197
All,0.047,0.042,0.044,0.04,0.049,0.044
All/Social,0.183,0.245,0.196,0.222,0.063,0.183
Social,0.192,0.19,0.216,0.202,0.09,0.197
