,Ada,LogReg,Forest,XGB,KNN,Trees
Position,0.038,0.037,0.037,0.036,0.034,0.037
Position/College,0.04,0.036,0.119,0.102,0.114,0.118
Position/Social,0.092,0.19,0.299,0.264,0.252,0.294
Position/College/Social,0.095,0.188,0.314,0.269,0.27,0.302
Team,0.034,0.044,0.046,0.045,0.037,0.046
Team/College,0.036,0.046,0.084,0.07,0.096,0.081
Team/Social,0.097,0.18,0.281,0.234,0.24,0.265
Team/College/Social,0.104,0.179,0.297,0.244,0.263,0.285
CareerLen,0.042,0.036,0.045,0.045,0.034,0.046
CareerLen/College,0.045,0.032,0.14,0.126,0.163,0.145
CareerLen/Social,0.097,0.18,0.302,0.268,0.25,0.295
CareerLen/College/Social,0.093,0.188,0.286,0.252,0.256,0.289
Performance,0.034,0.035,0.038,0.032,0.035,0.036
Performance/College,0.037,0.035,0.049,0.049,0.06,0.065
Performance/Social,0.088,0.187,0.268,0.203,0.157,0.284
Performance/College/Social,0.085,0.187,0.279,0.211,0.186,0.285
Rank,0.039,0.031,0.034,0.032,0.036,0.034
Rank/College,0.042,0.041,0.044,0.061,0.051,0.044
Rank/Social,0.105,0.182,0.284,0.242,0.119,0.296
Rank/College/Social,0.085,0.185,0.288,0.25,0.143,0.297
Value,0.039,0.037,0.048,0.041,0.042,0.042
Value/College,0.04,0.034,0.085,0.07,0.059,0.094
Value/Social,0.091,0.181,0.28,0.239,0.061,0.284
Value/College/Social,0.089,0.171,0.293,0.248,0.075,0.297
All,0.041,0.046,0.087,0.07,0.057,0.082
All/College,0.04,0.047,0.088,0.062,0.058,0.094
All/Social,0.097,0.181,0.274,0.2,0.058,0.284
All/College/Social,0.093,0.185,0.277,0.212,0.068,0.279
Social,0.093,0.174,0.294,0.254,0.238,0.289
Social/College,0.093,0.177,0.297,0.26,0.262,0.29
College,0.034,0.039,0.088,0.08,0.066,0.086
