,Ada,LogReg,Forest,XGB,KNN,Trees
Position,0.037,0.037,0.037,0.037,0.034,0.037
Position/College,0.043,0.04,0.106,0.099,0.103,0.107
Position/Social,0.099,0.191,0.292,0.276,0.247,0.286
Position/College/Social,0.091,0.184,0.287,0.256,0.259,0.284
Team,0.034,0.04,0.041,0.043,0.039,0.04
Team/College,0.034,0.046,0.085,0.075,0.105,0.082
Team/Social,0.1,0.167,0.284,0.237,0.239,0.266
Team/College/Social,0.113,0.181,0.283,0.239,0.255,0.27
CareerLen,0.045,0.033,0.048,0.047,0.036,0.047
CareerLen/College,0.043,0.033,0.129,0.119,0.155,0.133
CareerLen/Social,0.091,0.178,0.284,0.259,0.24,0.289
CareerLen/College/Social,0.096,0.185,0.309,0.282,0.274,0.31
Performance,0.033,0.032,0.035,0.03,0.041,0.037
Performance/College,0.037,0.036,0.049,0.05,0.065,0.06
Performance/Social,0.095,0.191,0.277,0.209,0.158,0.286
Performance/College/Social,0.097,0.19,0.302,0.234,0.2,0.304
Rank,0.035,0.038,0.03,0.03,0.035,0.034
Rank/College,0.035,0.034,0.038,0.065,0.045,0.045
Rank/Social,0.099,0.181,0.269,0.227,0.114,0.285
Rank/College/Social,0.104,0.184,0.283,0.236,0.138,0.294
Value,0.04,0.029,0.051,0.042,0.044,0.047
Value/College,0.038,0.034,0.086,0.079,0.059,0.095
Value/Social,0.088,0.177,0.287,0.233,0.066,0.289
Value/College/Social,0.086,0.185,0.291,0.248,0.069,0.295
All,0.034,0.047,0.087,0.064,0.057,0.086
All/College,0.041,0.041,0.09,0.067,0.058,0.086
All/Social,0.097,0.175,0.274,0.191,0.057,0.274
All/College/Social,0.093,0.182,0.279,0.211,0.069,0.288
Social,0.091,0.179,0.286,0.258,0.234,0.288
Social/College,0.097,0.184,0.293,0.262,0.263,0.299
College,0.037,0.034,0.086,0.081,0.071,0.093
