,Ada,LogReg,Forest,XGB,KNN,Trees
Position,0.039,0.039,0.039,0.039,0.031,0.039
Position/College,0.042,0.041,0.112,0.096,0.098,0.104
Team,0.043,0.05,0.043,0.046,0.024,0.036
Team/College,0.046,0.057,0.069,0.076,0.096,0.072
CareerLen,0.061,0.043,0.057,0.056,0.039,0.061
CareerLen/College,0.044,0.038,0.121,0.118,0.147,0.127
Performance,0.035,0.039,0.043,0.049,0.037,0.039
Performance/College,0.03,0.034,0.049,0.055,0.064,0.056
Rank,0.047,0.046,0.039,0.04,0.031,0.044
Rank/College,0.042,0.037,0.034,0.064,0.035,0.031
Value,0.046,0.04,0.056,0.061,0.057,0.053
Value/College,0.032,0.034,0.091,0.089,0.068,0.096
All,0.039,0.039,0.065,0.07,0.059,0.067
All/College,0.037,0.04,0.089,0.071,0.068,0.077
College,0.043,0.036,0.097,0.076,0.084,0.084
