,Ada,LogReg,Forest,XGB,KNN,Trees
Position,0.041,0.042,0.041,0.042,0.031,0.042
Position/College,0.034,0.037,0.1,0.099,0.104,0.103
Team,0.042,0.042,0.044,0.043,0.034,0.044
Team/College,0.044,0.043,0.082,0.085,0.095,0.081
CareerLen,0.055,0.046,0.054,0.054,0.035,0.054
CareerLen/College,0.046,0.047,0.137,0.136,0.155,0.14
Performance,0.041,0.043,0.036,0.036,0.034,0.035
Performance/College,0.039,0.045,0.047,0.048,0.063,0.055
Rank,0.037,0.039,0.04,0.04,0.035,0.039
Rank/College,0.04,0.033,0.037,0.057,0.05,0.04
Value,0.035,0.04,0.055,0.052,0.049,0.055
Value/College,0.036,0.037,0.089,0.083,0.065,0.099
All,0.044,0.044,0.064,0.056,0.046,0.064
All/College,0.043,0.045,0.084,0.073,0.062,0.075
College,0.039,0.037,0.085,0.081,0.071,0.083
